공공기관명,기관코드
인천국제공항공사,B551177
한국공항공사,B551178
한국수자원공사,B500001
한국도로공사,B500004
한국철도공사,B551457
한국토지주택공사,B552555
제주국제자유도시개발센터,B551391
(주)에스알,B553912
한국가스공사,B551210
한국석유공사,B410005
한국전력공사,B410002
한국지역난방공사,B550373
대한석탄공사,B410004
한국광해광업공단,B554644
한국남동발전,B551893
한국남부발전,B552520
한국동서발전,B552070
한국서부발전,B552522
한국중부발전,B552521
한국수력원자력,B552041
강원랜드,B552525
그랜드코리아레저,B552719
주택도시보증공사,B553511
한국가스기술공사,B551494
한국마사회,B551015
한국방송광고진흥공사,B552898
한국부동산원,B554388
한국전력기술,B550271
한국조폐공사,B190001
한전KDN,B552059
한전케이피에스,B551881
해양환경공단,B553931
공무원연금공단,B552640
국민연금공단,B552015
국민체육진흥공단,B370031
기술보증기금,B553694
신용보증기금,B190016
예금보험공사,B190017
중소벤처기업진흥공단,B554009
한국무역보험공사,B552696
한국자산관리공사,B010003
한국주택금융공사,B551408
국가철도공단,B554334
국토안전관리원,B554390
한국도로교통공단,B555234
한국가스안전공사,B410019
한국교통안전공단,B553881
한국국토정보공사,B553501
한국농어촌공사,B552149
한국산업안전보건공단,B552468
한국석유관리원,B552532
한국승강기안전공단,B553664
한국원자력환경공단,B553023
한국전기안전공사,B551398
한국전력거래소,B552115
한국해양교통안전공단,B554035
대한무역투자진흥공사,B410001
소상공인시장진흥공단,B553077
우체국금융개발원,B552886
우체국물류지원단,B552907
한국관광공사,B551011
한국농수산식품유통공사,B552845
한국방송통신전파진흥원,B552729
한국산업기술진흥원,B552536
한국산업기술기획평가원,B555072
한국산업단지공단,B550624
한국산업인력공단,B490007
한국에너지공단,B553530
한국연구재단,B552540
한국인터넷진흥원,B551505
한국지능정보사회진흥원,B554393
한국환경산업기술원,B552518
건강보험심사평가원,B551182
국립공원공단,B553991
국립생태원,B553084
국민건강보험공단,B550928
근로복지공단,B490001
축산물품질평가원,B552679
한국고용정보원,B551904
한국국제협력단,B260003
한국보훈복지의료공단,B551202
한국사회보장정보원,B554287
한국산림복지진흥원,B553714
한국소비자원,B551919
한국장애인고용공단,B552583
한국장학재단,B552529
한국환경공단,B552584
